gender,pace_5k_sec,time_5k_sec,finish_time_sec,age
1,252.0,1261.0,5876,33.0
1,270.0,1350.0,5876,43.0
1,275.0,1376.0,5877,32.0
1,277.0,1386.0,5879,41.0
1,277.0,1385.0,5879,37.0
1,226.0,1132.0,5880,48.0
1,257.0,1285.0,5880,26.0
1,274.0,1371.0,5880,49.0
1,277.0,1385.0,5880,29.0
1,272.0,1361.0,5881,20.0
1,272.0,1362.0,5881,48.0
1,257.0,1286.0,5882,40.0
1,261.0,1305.0,5884,43.0
1,269.0,1345.0,5885,36.0
1,262.0,1309.0,5885,54.0
0,275.0,1374.0,5886,35.0
1,270.0,1349.0,5886,34.0
1,273.0,1364.0,5886,34.0
1,284.0,1418.0,5887,42.0
1,275.0,1375.0,5887,37.0
1,274.0,1368.0,5887,38.0
1,265.0,1323.0,5888,49.0
1,277.0,1383.0,5888,29.0
1,260.0,1299.0,5889,45.0
1,274.0,1369.0,5889,43.0
1,262.0,1309.0,5890,40.0
1,280.0,1400.0,5890,38.0
1,258.0,1290.0,5891,23.0
1,305.0,1527.0,5892,28.0
1,271.0,1357.0,5892,34.0
1,273.0,1365.0,5892,45.0
1,267.0,1335.0,5892,51.0
1,296.0,1478.0,5894,33.0
0,282.0,1412.0,5895,27.0
1,267.0,1334.0,5896,42.0
1,278.0,1390.0,5896,35.0
1,270.0,1349.0,5896,38.0
1,276.0,1380.0,5897,44.0
0,260.0,1300.0,5897,38.0
1,282.0,1411.0,5898,42.0
1,277.0,1383.0,5899,38.0
